Car Names,Years of Production,Number Of,BodyStyles
   Mazda MPV 2.3 Exclusive,2003 - 2005,5,"MPV
"
   Mazda MX-3 1.6i,1991 - 1994,3,"Coupe
"
   Mazda MX-5 1.6i,1995 - 1998,2,"Convertible
"
   Mazda MX-5 1.6,1998 - 2001,2,"Convertible
"
   Mazda MX-5 1.6 Exclusive,2001 - 2004,2,"Convertible
"
   Mazda MX-5 1.6 Exclusive,2004 - 2005,2,"Convertible
"
   Mazda MX-5 1.8 Exclusive,2005 - 2009,2,"Convertible
"
   Mazda MX-5 1.8 TS,2009 - 2013,2,"Convertible
"
   Mazda MX-5 Roadster Coupe 1.8 Exclusive,2006 - 2009,2,"Convertible
"
   Mazda MX-5 Roadster Coupe 1.8 TS,2009 - 2013,2,"Convertible
"
   Mazda MX-6 2.0i,1991 - 1995,2,"Coupe
"
   Mazda Premacy 1.8 Comfort,1999 - 2001,5,"MPV
"
   Mazda Premacy 1.8,2001 - 2004,5,"MPV
"
   Mazda RX-7 DX,1981 - 1984,3,"Coupe
"
   Mazda RX-7,1986 - 1990,3,"Coupe
"
   Mazda RX-7 Twin Turbo,1992 - 1996,3,"Coupe
"
   Mazda RX-7 Cabriolet Turbo II,1990 - 1992,2,"Convertible
"
   Mazda RX-8 Renesis,2003 - 2008,4,"Coupe
"
   Mazda Tribute 2.0 2WD Exclusive,2001 - 2004,5,"SUV
"
   Mazda Tribute 2.3 4WD Touring,2004 - 2005,5,"SUV
"
   Mazda Xedos 6 1.6i,1992 - 1998,4,"Sedan
"
   Mercedes-Benz 190,1983 - 1988,4,"Sedan
"
   Mercedes-Benz 190,1988 - 1990,4,"Sedan
"
   Mercedes-Benz 200,1975 - 1985,4,"Sedan
"
   Mercedes-Benz 200,1985 - 1988,4,"Sedan
"
   Mercedes-Benz 200,1989 - 1990,4,"Sedan
"
   Mercedes-Benz 200 T,1980 - 1986,5,"Station wagon
"
   Mercedes-Benz 200 T,1986 - 1988,5,"Station wagon
"
   Mercedes-Benz 200 T,1989 - 1990,5,"Station wagon
"
   Mercedes-Benz 230 CE,1980 - 1986,2,"Coupe
"
   Mercedes-Benz 230 CE,1987 - 1988,2,"Coupe
"
   Mercedes-Benz 220 CE,1992 - 1993,2,"Coupe
"
   Mercedes-Benz 300 CE-24 Cabrio,1992 - 1993,2,"Convertible
"
   Mercedes-Benz A 150 Classic,2004 - 2008,3,"MPV
"
   Mercedes-Benz A 150,2008 - 2009,3,"MPV
"
   Mercedes-Benz A 140 Classic,1997 - 2001,5,"MPV
"
   Mercedes-Benz A 140 Classic,2001 - 2004,5,"MPV
"
   Mercedes-Benz A 150 Classic,2004 - 2008,5,"MPV
"
   Mercedes-Benz A 150,2008 - 2009,5,"MPV
"
,,,
,,,
,,,
   Mercedes-Benz A 140 Classic Lang,2001 - 2004,5,"MPV
"
   Mercedes-Benz B 150,2005 - 2008,5,"MPV
"
   Mercedes-Benz B 150,2008 - 2009,5,"MPV
"
   Mercedes-Benz B 180,2011 - 2014,5,"MPV
"
   Mercedes-Benz C 180,1993 - 1995,4,"Sedan
"
   Mercedes-Benz C 180 Classic,1995 - 1997,4,"Sedan
"
   Mercedes-Benz C 180 Classic,1997 - 2000,4,"Sedan
"
   Mercedes-Benz C 180 Classic,2000 - 2002,4,"Sedan
"
   Mercedes-Benz C 180 Kompressor Classic,2004 - 2007,4,"Sedan
"
   Mercedes-Benz C 180 BlueEFFICIENCY,2008 - 2009,4,"Sedan
"
   Mercedes-Benz C 180,2011 - 2012,4,"Sedan
"
   Mercedes-Benz C 180 Classic Combi,1996 - 1997,5,"Station wagon
"
   Mercedes-Benz C 180 Classic Combi,1997 - 2000,5,"Station wagon
"
   Mercedes-Benz C 180 Classic Combi,2001 - 2002,5,"Station wagon
"
   Mercedes-Benz C 180 Kompressor Classic Combi,2004 - 2007,5,"Station wagon
"
   Mercedes-Benz C 180 Kompressor BlueEFFICIENCY Estate,2009 - 2010,5,"Station wagon
"
   Mercedes-Benz C 180 Estate,2011 - 2012,5,"Station wagon
"
   Mercedes-Benz C 180 BlueEFFICIENCY Coupe,2011 - 2012,2,"Coupe
"
   Mercedes-Benz C 160 Sportcoupe,2005 - 2007,3,"Coupe
"
   Mercedes-Benz C 180 Sports Coupe,2001 - 2002,3,"Coupe
"
   Mercedes-Benz CL 420 Classic,1996 - 1999,2,"Coupe
"
   Mercedes-Benz CL 500,1999 - 2002,2,"Coupe
"
   Mercedes-Benz CL 500,2002 - 2004,2,"Coupe
"
   Mercedes-Benz CL 500,2006 - 2010,2,"Coupe
"
   Mercedes-Benz CL 500,2010 - 2014,2,"Coupe
"
   Mercedes-Benz CLC 160 BlueEFFICIENCY,2009 - 2011,3,"Coupe
"
   Mercedes-Benz CLK 200 Sport,1997 - 1999,2,"Coupe
"
   Mercedes-Benz CLK 200 Avantgarde,1999 - 2000,2,"Coupe
"
   Mercedes-Benz CLK 200 Kompressor Avantgarde,2002 - 2005,2,"Coupe
"
   Mercedes-Benz CLK 200 Kompressor Elegance,2005 - 2006,2,"Coupe
"
   Mercedes-Benz CLK 200 Kompressor Cabriolet Elegance,2005 - 2006,2,"Convertible
"
   Mercedes-Benz CLS 350,2004 - 2006,4,"Sedan
"
   Mercedes-Benz CLS 280,2008 - 2009,4,"Sedan
"
   Mercedes-Benz CLS 350,2010 - 2014,4,"Sedan
"
   Mercedes-Benz CLS Shooting Brake 350,2012 - 2014,5,"Station wagon
"
   Mercedes-Benz E 200,1993 - 1995,4,"Sedan
"
   Mercedes-Benz E 200 Classic,1995 - 1999,4,"Sedan
"
   Mercedes-Benz E 200 Classic,1999 - 2001,4,"Sedan
"
   Mercedes-Benz E 200 Kompressor Classic,2002 - 2006,4,"Sedan
"
   Mercedes-Benz E 200 Kompressor Classic,2006 - 2009,4,"Sedan
"
   Mercedes-Benz E 200 CGI BlueEFFICIENCY,2009 - 2011,4,"Sedan
"
   Mercedes-Benz E 200 Combi,1993 - 1996,5,"Station wagon
"
   Mercedes-Benz E 200 Classic Combi,1996 - 1999,5,"Station wagon
"
   Mercedes-Benz E 200 Classic Combi,1999 - 2001,5,"Station wagon
"
   Mercedes-Benz E 200 Kompressor Classic Combi,2003 - 2006,5,"Station wagon
"
   Mercedes-Benz E 200 Kompressor Classic Combi,2006 - 2009,5,"Station wagon
"
   Mercedes-Benz E 200 CGI BlueEFFICIENCY Estate,2009 - 2011,5,"Station wagon
"
   Mercedes-Benz E 200 Coupe,1994 - 1996,2,"Coupe
"
,,,
,,,
,,,
   Mercedes-Benz E 200 CGI BlueEFFICIENCY Coupe,2010 - 2011,2,"Coupe
"
   Mercedes-Benz E 200 Cabriolet,1994 - 1996,2,"Convertible
"
   Mercedes-Benz E 200 CGI BlueEFFICIENCY Cabriolet,2010 - 2011,2,"Convertible
"
   Mercedes-Benz 230 GE Cabriolet,1982 - 1990,2,"SUV
"
   Mercedes-Benz 230 GE Cabriolet,1990 - 1993,2,"SUV
"
   Mercedes-Benz G 230 Cabriolet,1993 - 1994,2,"SUV
"
   Mercedes-Benz G 320 Cabriolet,2000 - 2006,2,"SUV
"
   Mercedes-Benz G 500 Cabriolet,2012 - 2014,2,"SUV
"
   Mercedes-Benz 230 GE Stationwagon Kort,1982 - 1990,3,"SUV
"
   Mercedes-Benz 230 GE Stationwagon Kort,1990 - 1993,3,"SUV
"
   Mercedes-Benz G 230 Stationwagon Kort,1993 - 1994,3,"SUV
"
   Mercedes-Benz G 320 Stationwagon Kort,2000 - 2006,3,"SUV
"
   Mercedes-Benz G 500,2012 - 2015,5,"SUV
"
   Mercedes-Benz 230 GE Stationwagon Lang,1982 - 1990,5,"SUV
"
   Mercedes-Benz 230 GE Stationwagon Lang,1990 - 1993,5,"SUV
"
   Mercedes-Benz G 230 Stationwagon Lang,1993 - 1994,5,"SUV
"
   Mercedes-Benz G 320 Stationwagon Lang,2000 - 2006,5,"SUV
"
   Mercedes-Benz GL 450 4Matic,2006 - 2012,5,"SUV
"
   Mercedes-Benz GLK 280 4Matic,2008 - 2009,5,"SUV
"
   Mercedes-Benz GLK 200,2013 - 2015,5,"SUV
"
   Mercedes-Benz ML 230,1998 - 2000,5,"SUV
"
   Mercedes-Benz ML 320,2001 - 2002,5,"SUV
"
   Mercedes-Benz ML 350,2005 - 2008,5,"SUV
"
   Mercedes-Benz ML 350 4Matic,2008 - 2011,5,"SUV
"
   Mercedes-Benz ML 350 4Matic,2011 - 2014,5,"SUV
"
   Mercedes-Benz R 280,2007 - 2009,5,"MPV
"
   Mercedes-Benz R 300,2010 - 2012,5,"MPV
"
   Mercedes-Benz 280 S,1980 - 1985,4,"Sedan
"
   Mercedes-Benz 260 SE,1985 - 1989,4,"Sedan
"
   Mercedes-Benz S 280,1993 - 1995,4,"Sedan
"
   Mercedes-Benz 300 SE 2.8,1993 - 1993,4,"Sedan
"
   Mercedes-Benz S 320,1998 - 2002,4,"Sedan
"
   Mercedes-Benz S 350,2002 - 2005,4,"Sedan
"
   Mercedes-Benz S 350,2005 - 2009,4,"Sedan
"
   Mercedes-Benz S 350,2009 - 2010,4,"Sedan
"
   Mercedes-Benz 380 SEC,1982 - 1985,2,"Coupe
"
   Mercedes-Benz 420 SEC,1985 - 1987,2,"Coupe
"
   Mercedes-Benz 500 SEC,1993 - 1993,2,"Coupe
"
   Mercedes-Benz 280 SL,1980 - 1985,2,"Convertible
"
   Mercedes-Benz 300 SL,1985 - 1989,2,"Convertible
"
   Mercedes-Benz 300 SL,1989 - 1993,2,"Convertible
"
   Mercedes-Benz SL 280,1993 - 1995,2,"Convertible
"
   Mercedes-Benz SL 280,1995 - 1998,2,"Convertible
"
   Mercedes-Benz SL 280,1998 - 2001,2,"Convertible
"
   Mercedes-Benz SL 350,2002 - 2006,2,"Convertible
"
   Mercedes-Benz SL 350,2006 - 2008,2,"Convertible
"
   Mercedes-Benz SL 280,2008 - 2009,2,"Convertible
"
   Mercedes-Benz SL 350,2012 - 2014,2,"Convertible
"
,,,
,,,
,,,
   Mercedes-Benz SLK 200,1996 - 2000,2,"Convertible
"
   Mercedes-Benz SLK 200 Kompressor,2000 - 2004,2,"Convertible
"
   Mercedes-Benz SLK 200 Kompressor,2004 - 2008,2,"Convertible
"
   Mercedes-Benz SLK 200 Kompressor,2008 - 2011,2,"Convertible
"
   Mercedes-Benz SLK 200,2011 - 2015,2,"Convertible
"
   Mercedes-Benz SLS AMG,2010 - 2014,2,"Coupe
"
   Mercedes-Benz SLS AMG Roadster,2011 - 2014,2,"Convertible
"
   Mercedes-Benz Sprinter WB1 213 CDI,2012 - 2013,4,"Passenger bus
"
   Mercedes-Benz V 230 Trend,1996 - 1999,5,"MPV
"
   Mercedes-Benz V 230 Trend,1999 - 2003,5,"MPV
"
   Mercedes-Benz Vaneo Trend,2002 - 2006,5,"MPV
"
   Mercedes-Benz Viano Standaard CDI 2.0 Business,2006 - 2010,5,"Passenger bus
"
   Mercedes-Benz Viano Kort CDI 2.0 Trend Functional,2010 - 2014,5,"Passenger bus
"
   Mercedes-Benz Vito Kort 110 CDI Crew,2010 - 2014,4,"Passenger bus
"
   MG F 1.8i,1996 - 2002,2,"Convertible
"
   MG TF 115,2002 - 2005,2,"Convertible
"
   MG TF 115,2005 - 2005,2,"Convertible
"
   MG ZR 105,2001 - 2004,3,"Hatchback
"
   MG ZR 105,2004 - 2005,3,"Hatchback
"
   MG ZR 105,2002 - 2004,5,"Hatchback
"
   MG ZR 105,2004 - 2005,5,"Hatchback
"
   MG ZS 120,2002 - 2004,5,"Hatchback
"
   MG ZS 120,2004 - 2005,5,"Hatchback
"
   MG ZS 120,2001 - 2004,4,"Sedan
"
   MG ZS 120,2004 - 2005,4,"Sedan
"
   MG ZT 160,2002 - 2004,4,"Sedan
"
   MG ZT 160,2004 - 2005,4,"Sedan
"
   MG ZT-T 160,2002 - 2004,5,"Station wagon
"
   MG ZT-T 160,2004 - 2005,5,"Station wagon
"
   Mini Cabrio One,2004 - 2009,2,"Convertible
"
   Mini Cabrio One,2010 - 2010,2,"Convertible
"
   Mini Clubman One,2009 - 2010,4,"Station wagon
"
   Mini Clubman One,2010 - 2012,4,"Station wagon
"
   Mini Countryman One,2010 - 2014,5,"SUV
"
   Mini Coupe Cooper,2011 - 2015,3,"Coupe
"
   Mini Classic,1999 - 2000,2,"Hatchback
"
   Mini One,2001 - 2004,3,"Hatchback
"
   Mini One 55kW,2009 - 2010,3,"Hatchback
"
   Mini One 55kW Minimalist,2010 - 2014,3,"Hatchback
"
   Mini Roadster Cooper,2012 - 2015,2,"Convertible
"
   Mitsubishi ASX 1.6 ClearTec Inform,2010 - 2012,5,"SUV
"
   Mitsubishi Carisma 1.6i,1995 - 1996,5,"Hatchback
"
   Mitsubishi Carisma.nl 1.6,2000 - 2001,5,"Hatchback
"
   Mitsubishi Carisma 1.6 Classic,2001 - 2003,5,"Hatchback
"
   Mitsubishi Carisma 1.6 GLi,1996 - 1997,4,"Sedan
"
   Mitsubishi Carisma.nl 1.6,2000 - 2001,4,"Sedan
"
   Mitsubishi Carisma 1.6 Base,2003 - 2003,4,"Sedan
"
   Mitsubishi Colt 1200 Eterna,1984 - 1985,3,"Hatchback
"
,,,
,,,
,,,
   Mitsubishi Colt 1.2 DL,1986 - 1986,3,"Hatchback
"
   Mitsubishi Colt 1.3 EL,1988 - 1990,3,"Hatchback
"
   Mitsubishi Colt 1.3 ELi,1992 - 1996,3,"Hatchback
"
   Mitsubishi Colt 1.3 GLi,1996 - 2001,3,"Hatchback
"
   Mitsubishi Colt CZ3 1.1,2005 - 2007,3,"Hatchback
"
   Mitsubishi Colt CZ3 1.1 Inbusiness,2007 - 2008,3,"Hatchback
"
   Mitsubishi Colt CZ3 1.1 Inbusiness,2008 - 2009,3,"Hatchback
"
   Mitsubishi Colt 1200 GL,1979 - 1984,5,"Hatchback
"
   Mitsubishi Colt 1.2 GL,1984 - 1986,5,"Hatchback
"
   Mitsubishi Colt 1.1,2005 - 2007,5,"Hatchback
"
   Mitsubishi Colt CZ5 1.1 Incharge,2007 - 2008,5,"Hatchback
"
   Mitsubishi Colt CZ5 1.1 Inform,2008 - 2009,5,"Hatchback
"
   Mitsubishi Colt CZC 1.5,2006 - 2007,2,"Convertible
"
   Mitsubishi Colt CZC 1.5,2007 - 2008,2,"Convertible
"
   Mitsubishi Eclipse 2.0 GSi 16V,1992 - 1996,3,"Coupe
"
   Mitsubishi Eclipse 2.0 DOHC,1996 - 1999,3,"Coupe
"
   Mitsubishi Galant 1.8 EL,1989 - 1989,5,"Hatchback
"
   Mitsubishi Galant 1.8 GLi,1993 - 1997,5,"Hatchback
"
   Mitsubishi Galant 1600 EL,1980 - 1984,4,"Sedan
"
   Mitsubishi Galant 1.6 DL,1986 - 1988,4,"Sedan
"
   Mitsubishi Galant 1.8 EL,1988 - 1989,4,"Sedan
"
   Mitsubishi Galant 1.8 i,1994 - 1997,4,"Sedan
"
   Mitsubishi Galant 2.0 GLXi,1997 - 2001,4,"Sedan
"
   Mitsubishi Galant Station Wagon 2.0 GLXi,1997 - 2001,5,"Station wagon
"
   Mitsubishi Galant Stationwagon 1600 GL,1980 - 1986,5,"Station wagon
"
   Mitsubishi Grandis 2.4 Inform,2004 - 2010,5,"MPV
"
   Mitsubishi i-MiEV,2010 - 2015,5,"Hatchback
"
   Mitsubishi L200 Double Cab 2.5 DI-D 4WD Invite,2012 - 2015,4,"Pick-up
"
   Mitsubishi Lancer 1.5 GLi,1989 - 1990,5,"Hatchback
"
   Mitsubishi Lancer 1.3 GLi,1993 - 1995,5,"Hatchback
"
   Mitsubishi Lancer Sportback 1.5 Edition One,2010 - 2010,5,"Hatchback
"
   Mitsubishi Lancer 1200 EL,1979 - 1983,4,"Sedan
"
   Mitsubishi Lancer 1.2 DL,1986 - 1986,4,"Sedan
"
   Mitsubishi Lancer 1.3 EL,1988 - 1990,4,"Sedan
"
   Mitsubishi Lancer 1.3i Match,1994 - 1996,4,"Sedan
"
   Mitsubishi Lancer 1.3 GLi,1996 - 2001,4,"Sedan
"
   Mitsubishi Lancer 1.6 Comfort,2003 - 2005,4,"Sedan
"
   Mitsubishi Lancer 1.5 Inform,2007 - 2010,4,"Sedan
"
   Mitsubishi Lancer Wagon 1.5 GL,1987 - 1989,5,"Station wagon
"
   Mitsubishi Lancer Wagon 1.5 GLi,1989 - 1992,5,"Station wagon
"
   Mitsubishi Lancer Wagon 1.6 GLi,1992 - 2001,5,"Station wagon
"
   Mitsubishi Lancer Wagon 1.6 Comfort,2003 - 2005,5,"Station wagon
"
   Mitsubishi Lancer Wagon 1.6 Base,2005 - 2009,5,"Station wagon
"
   Mitsubishi Outlander 2.0 2WD Comfort Base,2003 - 2004,5,"SUV
"
   Mitsubishi Outlander 2.4 2WD Invite,2007 - 2010,5,"SUV
"
   Mitsubishi Outlander 2.0 2WD Invite,2010 - 2013,5,"SUV
"
   Mitsubishi Outlander Sport 2.0 2WD Invite,2006 - 2009,5,"SUV
"
   Mitsubishi Pajero 3.0 V6 GLXi Soft Top,1993 - 1994,3,"SUV
"
,,,
,,,
,,,
   Mitsubishi Pajero 3.0 V6 GLSi 24V,1997 - 2000,3,"SUV
"
   Mitsubishi Pajero Canvas Top 2.5 TD,1986 - 1990,3,"SUV
"
   Mitsubishi Pajero 3.5 V6 GDI GLS,2000 - 2003,3,"SUV
"
   Mitsubishi Pajero 3.5 V6 GDI GLS,2003 - 2005,3,"SUV
"
   Mitsubishi Pajero Metal Top 3.0 V6,1990 - 1991,3,"SUV
"
   Mitsubishi Pajero SWB 3.2 DiD Invite,2006 - 2010,3,"SUV
"
   Mitsubishi Pajero 3.5 V6 GDI GLS,2000 - 2003,5,"SUV
"
   Mitsubishi Pajero 3.5 V6 GDI GLS,2003 - 2005,5,"SUV
"
   Mitsubishi Pajero Long Body 3.0 V6,1990 - 1991,5,"SUV
"
   Mitsubishi Pajero Long Body 3.0 V6 GLSi,1991 - 1994,5,"SUV
"
   Mitsubishi Pajero Long Body 3.5 V6 GLSi,1997 - 2000,5,"SUV
"
   Mitsubishi Pajero LWB 3.2 DiD Invite,2006 - 2010,5,"SUV
"
   Mitsubishi Pajero Wagon 2.5 TD,1986 - 1990,5,"SUV
"
   Mitsubishi Pajero Pinin 1.8 GDI,2000 - 2001,3,"SUV
"
   Mitsubishi Pajero Pinin Long Body 1.8 GL,2001 - 2003,5,"SUV
"
   Mitsubishi Pajero Sport 3.0 V6 GLS,2002 - 2004,5,"SUV
"
   Mitsubishi Space Runner 1.8 GLi,1991 - 1996,4,"MPV
"
   Mitsubishi Space Runner 2.0 GLXi,1999 - 2002,4,"MPV
"
   Mitsubishi Space Star 1.3 GL,1998 - 2000,5,"MPV
"
   Mitsubishi Space Star 1.3 Family,2000 - 2002,5,"MPV
"
   Mitsubishi Space Star 1.3 Base,2003 - 2004,5,"MPV
"
   Mitsubishi Space Star 1.3 Inform,2004 - 2006,5,"MPV
"
   Mitsubishi Space Wagon 1.8 GL,1984 - 1986,5,"MPV
"
   Mitsubishi Space Wagon 1.8 GLXi,1991 - 1992,5,"MPV
"
   Mitsubishi Space Wagon 2.0 GLXi Base,2003 - 2004,5,"MPV
"
   Morgan Aero 8,2001 - 2004,2,"Convertible
"
   Morgan Aero 8,2006 - 2008,2,"Convertible
"
   Morgan Aero Supersports,2010 - 2019,2,"Convertible
"
   Morgan Plus 4 2-seater,1988 - 1999,2,"Convertible
"
   Morgan Plus 4 2-seater,2005 - 2019,2,"Convertible
"
   Morgan Roadster,2004 - 2009,2,"Convertible
"
   Nissan 100 NX 1.6 SLX,1991 - 1993,3,"Coupe
"
   Nissan 200 SX Turbo,1994 - 1997,2,"Coupe
"
   Nissan 200 SX Turbo,1997 - 2000,2,"Coupe
"
   Nissan 200 SX,1989 - 1994,3,"Coupe
"
   Nissan 300 ZX 2+2,1984 - 1987,3,"Coupe
"
   Nissan 300 ZX 2+2,1987 - 1990,3,"Coupe
"
   Nissan 300 ZX Twin Turbo,1990 - 1996,3,"Coupe
"
   Nissan 350Z,2003 - 2006,3,"Coupe
"
   Nissan 350Z,2006 - 2007,3,"Coupe
"
   Nissan 350Z Roadster,2005 - 2006,2,"Convertible
"
   Nissan 350Z Roadster,2006 - 2007,2,"Convertible
"
   Nissan 370Z,2009 - 2010,3,"Coupe
"
   Nissan 370Z Roadster,2010 - 2020,2,"Convertible
"
   Nissan Almera 1.4 LX,1995 - 1998,3,"Hatchback
"
   Nissan Almera 1.4 LX,1998 - 2000,3,"Hatchback
"
   Nissan Almera 1.5,2000 - 2002,3,"Hatchback
"
   Nissan Almera 1.5,2002 - 2006,3,"Hatchback
"
,,,
,,,
,,,
   Nissan Almera 1.4 GX,1995 - 1998,5,"Hatchback
"
   Nissan Almera 1.4 GX,1998 - 2000,5,"Hatchback
"
   Nissan Almera 1.5 Comfort,2000 - 2002,5,"Hatchback
"
   Nissan Almera 1.5 Visia,2002 - 2006,5,"Hatchback
"
   Nissan Almera 1.4 GX,1995 - 1998,4,"Sedan
"
   Nissan Almera 1.4 GX,1998 - 2000,4,"Sedan
"
   Nissan Almera 1.5 Comfort,2000 - 2002,4,"Sedan
"
   Nissan Almera 1.5 Visia,2002 - 2006,4,"Sedan
"
   Nissan Almera Tino 1.8,2000 - 2003,5,"MPV
"
   Nissan Almera Tino 1.8,2003 - 2006,5,"MPV
"
   Nissan Cube 1.6 Pure,2010 - 2011,5,"MPV
"
   Nissan GT-R Base,2009 - 2010,3,"Coupe
"
   Nissan Juke 1.6 Juke,2013 - 2014,5,"SUV
"
   Nissan Leaf,2010 - 2013,5,"Hatchback
"
   Nissan Maxima 3.0,1989 - 1995,4,"Sedan
"
   Nissan Micra 1.0 DX,1983 - 1989,3,"Hatchback
"
   Nissan Micra 1.0 L,1989 - 1989,3,"Hatchback
"
   Nissan Micra 1.0,1992 - 1996,3,"Hatchback
"
   Nissan Micra 1.0,1996 - 1997,3,"Hatchback
"
   Nissan Micra 1.0 Gi,1998 - 2000,3,"Hatchback
"
   Nissan Micra 1.0,2000 - 2003,3,"Hatchback
"
   Nissan Micra 1.0,2003 - 2005,3,"Hatchback
"
   Nissan Micra 1.2 65hp Pure,2005 - 2008,3,"Hatchback
"
   Nissan Micra 1.2 65hp Pure,2008 - 2009,3,"Hatchback
"
   Nissan Micra 1.0 DX,1987 - 1989,5,"Hatchback
"
   Nissan Micra 1.0 L,1989 - 1989,5,"Hatchback
"
   Nissan Micra 1.0 LX,1992 - 1996,5,"Hatchback
"
   Nissan Micra 1.0 GX,1996 - 1998,5,"Hatchback
"
   Nissan Micra 1.0 GL,1998 - 2000,5,"Hatchback
"
   Nissan Micra 1.0 Trend,2000 - 2002,5,"Hatchback
"
   Nissan Micra 1.2 65hp Visia,2003 - 2005,5,"Hatchback
"
   Nissan Micra 1.2 65hp Visia,2005 - 2007,5,"Hatchback
"
   Nissan Micra 1.2 65hp Mix,2008 - 2011,5,"Hatchback
"
   Nissan Micra 1.2 Visia,2011 - 2013,5,"Hatchback
"
   Nissan Micra C+C 1.4 Tekna,2005 - 2008,3,"Convertible
"
   Nissan Micra C+C 1.4 Tekna,2008 - 2009,3,"Convertible
"
   Nissan Murano 3.5 V6,2005 - 2008,5,"SUV
"
   Nissan Murano 3.5 V6,2008 - 2010,5,"SUV
"
   Nissan Murano 3.5 V6,2010 - 2015,5,"SUV
"
   Nissan Note 1.4 Pure,2006 - 2009,5,"MPV
"
   Nissan Note 1.4 Visia,2009 - 2013,5,"MPV
"
   Nissan Pathfinder 3.3 V6,2000 - 2001,5,"SUV
"
   Nissan Pathfinder 2.5 dCi XE,2005 - 2009,5,"SUV
"
   Nissan Pathfinder 2.5 dCi XE,2010 - 2014,5,"SUV
"
   Nissan Patrol GR 2.8 Turbo D,1998 - 2000,3,"SUV
"
   Nissan Patrol GR 3.0 Di Turbo Comfort Base,2003 - 2004,3,"SUV
"
   Nissan Patrol GR 3.0 Di Turbo Comfort,2004 - 2007,3,"SUV
"
   Nissan Patrol Hardtop 2.8,1984 - 1989,3,"SUV
"
,,,
,,,
,,,
   Nissan Patrol GR 2.8 Turbo D,1998 - 2000,5,"SUV
"
   Nissan Patrol GR 3.0 Di Turbo Comfort,2003 - 2004,5,"SUV
"
   Nissan Patrol GR 3.0 Di Turbo Comfort Plus,2004 - 2007,5,"SUV
"
   Nissan Patrol Wagon 2.8,1984 - 1989,5,"SUV
"
   Nissan Pixo 1.0 Visia,2009 - 2012,5,"Hatchback
"
   Nissan Primastar Combi L1H1 2700 2.0 dCi 90 Visia,2011 - 2017,4,"Passenger bus
"
   Nissan Primera 1.6 LX,1990 - 1993,5,"Hatchback
"
   Nissan Primera 1.6 LX,1994 - 1996,5,"Hatchback
"
   Nissan Primera 1.6 GX,1996 - 1999,5,"Hatchback
"
   Nissan Primera 1.6 Comfort,1999 - 2002,5,"Hatchback
"
   Nissan Primera 1.6 Visia,2002 - 2004,5,"Hatchback
"
   Nissan Primera 1.8 Visia,2004 - 2006,5,"Hatchback
"
   Nissan Primera 1.6 L,1990 - 1993,4,"Sedan
"
   Nissan Primera 1.6 L,1994 - 1996,4,"Sedan
"
   Nissan Primera 1.6 LX,1996 - 1999,4,"Sedan
"
   Nissan Primera 1.6,1999 - 2002,4,"Sedan
"
   Nissan Primera 1.6,2002 - 2004,4,"Sedan
"
   Nissan Primera 1.6 Visia,2004 - 2006,4,"Sedan
"
   Nissan Primera Estate 1.6 Visia,2002 - 2004,5,"Station wagon
"
   Nissan Primera Estate 1.8 Visia,2004 - 2006,5,"Station wagon
"
   Nissan Primera Wagon 1.6 LX,1990 - 1993,5,"Station wagon
"
   Nissan Primera Wagon 1.6 LX,1994 - 1997,5,"Station wagon
"
   Nissan Primera Wagon 1.6 GX,1998 - 1999,5,"Station wagon
"
   Nissan Primera Wagon 1.6 Comfort,1999 - 2001,5,"Station wagon
"
   Nissan Qashqai 1.6 Visia,2007 - 2008,5,"SUV
"
   Nissan Qashqai 1.6 Visia,2008 - 2010,5,"SUV
"
   Nissan Qashqai 1.6 Visia,2010 - 2010,5,"SUV
"
   Nissan Qashqai+2 1.6 Visia,2009 - 2010,5,"SUV
"
   Nissan Qashqai+2 1.6 Visia,2010 - 2010,5,"SUV
"
   Nissan Serena 1.6 LX,1992 - 1994,4,"MPV
"
   Nissan Serena 2.0 SLX,1992 - 1996,5,"MPV
"
   Nissan Sunny 1.3 L,1986 - 1989,3,"Hatchback
"
   Nissan Sunny 1.4 L,1991 - 1993,3,"Hatchback
"
   Nissan Sunny 1.4 L,1993 - 1995,3,"Hatchback
"
   Nissan Sunny 1.3 LX,1986 - 1989,5,"Hatchback
"
   Nissan Sunny 1.4 LX,1991 - 1993,5,"Hatchback
"
   Nissan Sunny 1.4 LX,1993 - 1995,5,"Hatchback
"
   Nissan Sunny 1.3,1982 - 1986,2,"Sedan
"
   Nissan Sunny 1.3 GL,1982 - 1985,4,"Sedan
"
   Nissan Sunny 1.3 LX,1986 - 1989,4,"Sedan
"
   Nissan Sunny 1.4 LX,1991 - 1993,4,"Sedan
"
   Nissan Sunny 1.4 LX,1993 - 1995,4,"Sedan
"
   Nissan Sunny Combi 1.3 DX,1983 - 1986,5,"Sedan
"
   Nissan Sunny Florida 1.6 LX,1986 - 1989,5,"Station wagon
"
   Nissan Sunny Wagon 1.3 DX,1986 - 1989,5,"Station wagon
"
   Nissan Sunny Wagon 1.6 LX,1991 - 1993,5,"Station wagon
"
   Nissan Sunny Wagon 1.6 LX,1993 - 1996,5,"Station wagon
"
   Nissan Sunny Wagon 1.6 LX,1997 - 2001,5,"Station wagon
"
,,,
,,,
,,,
   Nissan Sunny Coupe 1.5 GL,1982 - 1986,3,"Coupe
"
   Nissan Sunny Coupe 1.6 SLX,1986 - 1989,3,"Coupe
"
